'so2_ae';'so2_we';'no2_ae';'no2_we';'co_ae';'co_we';'o3_we';'o3_ae';'so2_mo';'no2_mo';'co_mo';'o3_mo';'temperatura';'humedad';
347;351;223;213;372;444;233;219;7;2;0.3;74;33.8;47.0;
348;354;225;209;384;442;226;222;8;2;0.3;75;37.5;39.3;
349;356;222;207;375;435;225;219;8;2;0.3;72;38.9;37.0;
349;355;222;211;369;444;228;218;9;2;0.3;70;38.4;37.7;
349;353;222;217;368;462;233;218;7;2;0.3;66;36.7;42.5;
349;350;223;221;371;473;237;219;7;2;0.3;66;34.4;47.9;
348;346;224;226;376;478;243;219;6;2;0.3;70;30.7;58.1;
348;344;225;228;387;482;245;221;9;3;0.3;77;28.4;65.1;
348;342;226;229;395;483;246;222;9;4;0.4;78;26.7;72.4;
348;342;227;230;400;484;246;223;7;4;0.4;74;26.0;77.7;
348;342;227;230;405;483;242;223;7;8;0.4;52;25.7;80.1;
348;344;227;227;407;482;238;224;6;5;0.3;50;25.3;80.6;
347;344;227;225;410;481;237;223;6;3;0.3;53;25.0;82.0;
347;344;227;225;411;479;237;223;5;2;0.3;53;24.7;83.2;
347;344;227;224;413;479;235;223;4;2;0.3;54;24.3;83.7;
347;343;227;224;414;479;236;223;5;3;0.3;53;24.0;84.7;
347;343;227;225;414;479;237;224;6;3;0.3;53;23.9;85.8;
347;342;227;224;416;480;236;223;6;5;0.3;50;23.8;85.7;
347;343;227;226;414;483;235;223;8;7;0.3;38;23.6;86.1;
347;344;228;227;413;488;233;224;6;11;0.4;18;24.2;85.0;
347;343;229;218;415;480;234;226;6;8;0.4;44;28.0;71.8;
346;343;227;210;418;464;229;224;5;3;0.3;77;31.2;56.6;
347;343;226;214;408;463;233;222;4;2;0.3;82;31.6;56.3;
348;346;227;211;407;464;232;224;4;3;0.3;82;33.7;51.9;
348;346;224;212;401;463;233;222;5;2;0.3;87;34.7;46.9;
349;348;224;211;400;463;232;222;5;3;0.3;85;36.2;43.9;
349;353;224;207;400;458;227;223;5;3;0.3;85;39.6;37.8;
350;355;222;206;398;460;226;219;6;3;0.3;83;40.1;37.2;
350;353;222;214;379;470;233;219;6;3;0.3;78;38.0;41.1;
350;353;222;218;387;476;232;218;5;3;0.3;71;36.6;43.6;
349;350;223;226;382;488;240;218;6;4;0.3;68;32.3;54.0;
349;348;224;229;389;496;241;220;8;8;0.4;56;30.2;61.6;
349;346;225;231;395;492;242;221;9;7;0.4;54;27.5;70.8;
349;345;226;232;400;492;243;222;7;5;0.4;61;26.2;80.6;
348;345;227;230;405;488;242;223;4;3;0.4;64;25.7;86.0;
348;345;227;227;409;487;238;224;5;4;0.3;58;25.8;86.1;
348;345;226;226;410;480;235;223;4;4;0.3;55;24.9;87.5;
349;345;226;225;410;481;237;224;4;4;0.3;56;24.7;89.7;
