Day,Time,NO2_we,NO2_ae,Sensibilidad_NO2,ppb_NO2,O3_we,O3_ae,Sensibilidad_O3,ppb_03,SO2_we,SO2_ae,Sensibilidad_SO2,ppb_SO2,CO_we,CO_ae,Sensibilidad,ppb_CO,Temperatura,Humedad,ug/m3_NO2_Sensor,ug/m3_O3_Sensor,ug/m3_SO2_Sensor,ug/m3_CO_Sensor,NO2_Mompean,CO_Mompean,O3_Mompean,SO2_Mompean
'5/5/21','10:00',231.8979854,227.4351823,0.261,17.09886245,234.0818704,227.5704586,0.35,18.60403371,390.4680248,362.3252831,0.322,87.39981894,397.8699626,360.5177343,0.444,84.12664032,26.1,50.8,32.03609891,36.36729566,228.0346243,95.96421303,16,0.3,53,9
'5/5/21','11:00',231.1195901,228.0384326,0.261,11.80520115,237.9191475,228.696986,0.35,26.34903286,391.8764793,363.7799153,0.322,87.25640994,401.7652643,354.4183178,0.444,106.6372669,26.9,49.5,22.05902569,51.36994449,227.0534629,121.3180146,12,0.2,64,8
'5/5/21','12:00',229.0710895,229.2682488,0.261,-0.755399617,233.4362201,227.5190841,0.35,16.90610286,396.4030856,367.4529068,0.322,89.90738758,380.2521902,354.8602682,0.444,57.18901351,30.3,42.3,-1.395713196,32.59075441,231.3303726,64.33323394,13,0.2,61,7
'5/5/21','13:00',227.5838554,227.7284812,0.261,-0.554121839,234.6307195,225.6503476,0.35,25.65820543,399.1358499,368.093568,0.322,96.40460217,370.0148833,341.0370372,0.444,65.26541914,30.6,41.4,-1.022811369,49.41377573,247.8026239,73.34605585,12,0.2,63,5
'5/5/21','14:00',227.6245747,227.9314684,0.261,-1.175837931,234.0661157,225.3718274,0.35,24.84082371,403.8171628,370.3236866,0.322,104.0170068,367.6283143,341.4657965,0.444,58.92458964,32.4,38.6,-2.157604027,47.55779968,265.7948029,65.83005207,18,0.2,53,6
'5/5/21','15:00',227.2917815,226.4899371,0.261,3.072200766,235.8525044,224.8630734,0.35,31.39837429,407.6930084,371.4575842,0.322,112.5323733,383.9321606,334.8521803,0.444,110.5404962,31.8,39,5.648427018,60.2305145,288.1199037,123.737886,15,0.2,60,6
'5/5/21','16:00',228.3992024,225.8749517,0.261,9.671458621,238.484111,224.9308484,0.35,38.72360743,407.1055456,369.8749241,0.322,115.6230481,396.8806695,337.3858551,0.444,133.9973297,30.7,41.3,17.84593487,74.55119625,297.1047493,150.5382362,13,0.2,67,6
'5/5/21','17:00',230.491785,225.4867086,0.261,19.17653793,240.9922372,225.6510698,0.35,43.83190686,402.1388688,366.4393101,0.322,110.8681947,410.442147,341.5561608,0.444,155.1486176,28.9,44.9,35.59573214,84.88863945,286.5844067,175.3391876,12,0.2,68,6
'5/5/21','18:00',231.7757097,224.1659452,0.261,29.15618582,244.1003719,226.3669716,0.35,50.666858,396.9542356,364.4480867,0.322,100.950773,422.5378243,348.4810113,0.444,166.7946239,26.1,51.4,54.62646744,99.04392958,263.3903808,190.2645197,12,0.2,69,6
'5/5/21','19:00',235.8208261,224.1901429,0.261,44.5620046,247.8306272,228.3689687,0.35,55.60473857,387.7407556,359.9218454,0.322,86.39413106,435.7001795,354.9772905,0.444,181.8083086,21.6,62.9,84.76517668,110.3560222,228.8520714,210.557072,11,0.2,70,6
'5/5/21','20:00',240.2398299,224.6242097,0.261,59.82996245,248.1225765,229.7210109,0.35,52.57590171,382.3503015,359.9679937,0.322,69.51027267,445.0284097,365.9865178,0.444,178.0222791,19.4,69.6,114.6635,105.1295187,185.5125564,207.7228029,24,0.2,43,7
'5/5/21','21:00',238.3499916,225.2848858,0.261,50.05787663,248.1135872,231.140729,0.35,48.49388057,380.7465249,357.9339503,0.322,70.84650497,448.9314297,370.5726967,0.444,176.4836329,17.3,80,96.62902757,97.66829499,190.445831,207.4163436,23,0.2,42,6
'5/5/21','22:00',237.6447261,225.8335317,0.261,45.25361839,248.9413385,232.3460023,0.35,47.41524629,378.4464132,357.6188596,0.322,64.68184348,448.6001813,376.1591798,0.444,163.1554088,16.6,85.5,87.56618554,95.72659572,174.2943725,192.2152988,15,0.2,60,6
'5/5/21','23:00',238.0674379,226.4181455,0.261,44.63330421,247.6933745,232.7543761,0.35,42.68285257,375.4244081,356.2857706,0.322,59.43676242,442.5848665,376.6481776,0.444,148.5060561,16.3,87.7,86.45538543,86.26168377,160.3267583,175.1380583,18,0.2,55,6
