SO2_ae,SO2_we,NO2_ae,NO2_we,CO_ae,CO_we,O3_we,O3_ae,SO2_Mompean,NO2_Mompean,CO_Mompean,O3_Mompean,Temperatura,Humedad
358,389,229,242,331,484,225,224,3,19,0.2,55,18.6,31.7
366,400,232,251,331,439,231,225,4,38,0.3,37,17.7,40.7
358,392,229,245,327,430,233,226,4,47,0.3,24,17.6,44.8
360,394,232,250,329,434,235,226,3,33,0.4,43,18.0,52.2
360,395,231,245,330,427,232,226,3,16,0.4,62,18.0,52.3
363,398,231,249,327,430,234,226,5,28,0.4,49,16.6,59.1
361,397,230,246,326,440,233,227,3,17,0.4,60,15.5,65.7
365,397,233,248,330,438,227,226,3,28,0.5,38,14.7,57.1
365,397,232,245,329,418,226,226,4,18,0.4,47,14.7,52.5
370,400,234,249,333,418,226,226,4,16,0.4,50,15.0,51.9
369,401,232,247,330,410,225,226,4,11,0.3,53,14.9,52.7
368,401,233,246,330,409,226,226,5,9,0.2,55,14.5,55.7
363,397,231,246,328,409,227,226,4,9,0.2,55,14.2,61.1
363,398,231,244,328,408,228,226,4,8,0.2,53,14.1,63.6
363,399,232,245,329,414,228,227,5,6,0.2,56,14.0,68.7
364,398,232,246,331,414,225,227,5,8,0.2,50,14.3,66.9
366,398,233,248,333,407,227,227,5,11,0.2,47,14.6,63.9
360,394,231,245,329,406,229,227,5,11,0.2,48,14.6,67.7
367,398,233,249,332,412,228,227,5,12,0.2,45,14.3,70.0
362,395,229,243,329,417,227,227,5,14,0.2,45,14.0,67.6
367,395,234,250,334,413,225,227,5,16,0.2,42,15.0,55.8
365,393,232,248,336,433,227,226,5,33,0.3,19,15.9,53.8
362,392,231,246,333,412,227,227,5,26,0.2,27,16.5,56.2
363,393,230,244,334,405,227,226,5,18,0.2,38,17.5,53.8
362,392,231,244,334,407,228,227,6,12,0.2,48,18.1,55.5
363,394,233,249,334,414,229,227,6,14,0.3,45,18.9,57.7
365,394,234,250,341,427,227,227,7,28,0.3,25,20.4,52.0
361,389,233,244,337,408,224,226,7,22,0.3,33,20.4,46.8
361,394,232,248,333,412,228,225,7,19,0.3,37,19.1,55.5
360,390,231,243,330,405,225,226,7,15,0.3,41,18.1,49.6
363,392,231,242,334,403,225,226,6,10,0.2,50,18.2,46.8
363,391,232,244,334,403,226,226,6,10,0.2,52,18.4,45.5
360,392,230,242,332,414,226,225,6,16,0.2,42,18.1,48.7
352,455,301,250,362,447,317,398,5,17,0.2,56,16.6,63.6
356,452,297,255,362,447,318,391,5,12,0.2,66,16.3,64.1
359,451,292,254,360,444,317,388,5,14,0.2,63,16.4,64.3
360,449,287,253,359,439,315,382,5,16,0.2,60,16.3,65.1
360,445,280,252,356,434,309,372,3,15,0.2,62,15.6,67.6
363,444,273,254,354,439,302,359,5,29,0.2,40,14.5,73.3
364,443,270,255,353,453,296,349,5,36,0.2,22,13.6,78.5
367,442,266,256,354,461,290,342,4,41,0.3,16,12.9,80.7
368,441,261,253,352,458,281,332,5,45,0.3,6,12.0,81.9
369,441,258,252,352,452,276,323,5,33,0.3,14,10.8,86.4
370,441,256,251,350,447,272,318,5,28,0.2,17,10.3,88.9
371,440,256,252,349,443,270,317,6,23,0.2,20,10.2,90.1
371,440,254,252,346,441,267,317,7,26,0.2,7,10.2,88.3
372,442,251,248,346,437,261,313,9,23,0.2,2,9.87,87.9
374,444,252,250,345,439,261,312,8,13,0.2,9,9.76,91.1
372,442,252,250,343,435,265,318,7,12,0.2,20,10.9,89.3
371,442,252,250,342,427,267,322,7,11,0.2,20,11.7,87.0
371,440,251,249,340,423,269,325,7,11,0.2,23,12.3,84.8
370,439,250,250,339,422,271,326,8,18,0.2,19,12.7,81.7
371,438,249,250,340,424,271,326,7,23,0.2,19,12.9,79.7
372,438,249,252,339,427,271,327,7,35,0.2,9,13.2,78.1
372,438,249,252,338,428,271,326,5,41,0.3,4,13.3,75.3
373,439,249,251,337,427,271,329,6,36,0.3,11,14.0,71.6
371,437,248,251,335,418,273,332,5,32,0.2,17,14.7,68.4
371,439,247,250,334,410,274,334,4,31,0.2,17,15.1,67.2
372,438,246,249,334,411,275,334,5,27,0.2,24,15.6,65.1
371,439,246,249,332,408,276,335,6,26,0.2,31,15.9,64.3
371,439,245,249,334,405,276,336,6,28,0.2,26,16.2,63.3
371,437,243,248,335,406,273,331,5,28,0.2,28,15.9,64.7
372,439,239,246,338,424,266,317,6,31,0.2,20,14.2,71.7
374,437,240,250,341,463,258,304,7,49,0.3,2,12.1,80.9
374,436,242,254,342,459,262,303,7,49,0.3,1,12.0,84.8
375,436,241,251,342,456,259,303,7,44,0.3,2,12.4,83.6
375,438,239,249,342,456,256,300,7,39,0.3,3,12.2,84.0
375,436,239,249,341,453,254,298,7,35,0.3,4,12.0,85.4
376,436,239,248,340,446,253,297,6,31,0.3,5,11.8,86.0
339,368,228,243,359,466,229,239,1,17,0.2,55,15.4,74.8
340,367,229,243,361,456,229,240,1,17,0.3,54,15.4,76.0
341,366,229,242,362,449,229,241,1,15,0.3,57,16.1,73.2
340,364,229,241,361,438,229,241,1,14,0.3,60,16.1,72.6
340,363,229,241,362,438,228,239,1,13,0.3,62,15.6,75.3
340,363,229,242,363,442,229,239,1,14,0.3,58,14.7,81.5
340,362,230,243,363,449,230,239,1,18,0.3,56,14.8,82.4
340,361,230,243,365,444,229,239,1,19,0.3,56,14.9,82.9
340,362,230,243,364,444,228,238,1,18,0.3,56,14.4,85.4
340,361,230,243,365,438,228,238,1,14,0.3,62,14.4,86.2
340,361,230,242,365,439,228,238,1,12,0.3,62,14.2,88.7
340,362,230,242,367,438,226,238,2,10,0.3,60,14.0,89.6
340,362,230,242,366,433,224,237,3,10,0.2,55,13.4,92.0
340,363,231,243,366,439,225,238,3,12,0.3,49,13.6,94.5
340,363,231,242,366,437,224,238,2,10,0.3,47,13.8,93.9
340,362,231,242,366,436,224,238,2,7,0.3,50,13.8,94.4
341,362,231,244,367,440,225,239,3,17,0.3,36,14.2,93.2
340,362,230,242,367,437,223,238,3,15,0.3,44,13.9,93.1
340,363,231,243,367,440,223,238,2,12,0.3,39,13.7,95.2
340,363,231,246,367,461,223,238,3,29,0.3,13,13.6,94.4
341,367,230,245,370,503,219,237,4,40,0.6,1,12.2,91.2
343,369,231,248,370,504,222,241,8,44,0.6,1,12.6,92.9
342,367,232,245,366,482,225,243,4,29,0.4,15,15.2,90.8
341,367,231,242,362,452,224,246,4,23,0.4,23,17.8,80.9
340,365,230,241,358,431,224,247,4,22,0.3,29,19.3,74.5
340,364,229,240,355,424,226,245,3,19,0.3,39,19.4,73.6
339,363,229,242,356,433,227,243,3,23,0.4,36,18.3,77.6
339,364,229,241,356,430,226,242,3,18,0.4,43,18.0,78.2
339,363,229,242,358,434,225,240,3,20,0.3,39,16.8,81.7
339,362,229,244,359,437,224,238,3,24,0.3,29,15.5,86.4
340,364,230,245,362,450,222,237,3,29,0.4,14,14.3,89.3
340,363,230,246,362,453,223,237,3,31,0.4,14,13.9,93.8
341,365,230,246,366,482,220,236,5,40,0.5,3,13.0,92.1
341,366,230,246,366,492,218,236,6,40,0.5,1,11.8,92.8
342,367,231,246,366,496,217,236,6,34,0.4,1,11.5,93.8
342,367,231,245,367,495,215,235,5,32,0.4,1,11.3,94.1
342,367,231,245,366,486,215,235,4,27,0.4,2,11.1,95.0
341,366,231,244,365,468,212,234,3,21,0.3,1,10.7,94.8
